"game_id","home_team","away_team","abs_spread","div_game","reg_playoff","penalty_count"
"2019_03_TEN_JAX","JAX","TEN",1.5,1,"REG",13
"2019_04_CAR_HOU","HOU","CAR",5.5,0,"REG",13
"2019_04_CIN_PIT","PIT","CIN",3.5,1,"REG",12
"2019_04_CLE_BAL","BAL","CLE",7.5,1,"REG",9
"2019_04_DAL_NO","NO","DAL",2.5,0,"REG",15
"2019_04_JAX_DEN","DEN","JAX",2.5,0,"REG",17
"2019_04_KC_DET","DET","KC",7.5,0,"REG",15
"2019_04_LAC_MIA","MIA","LAC",15,0,"REG",15
"2019_04_MIN_CHI","CHI","MIN",1,1,"REG",14
"2019_04_NE_BUF","BUF","NE",7,1,"REG",16
"2019_04_OAK_IND","IND","LV",5.5,0,"REG",16
"2019_04_PHI_GB","GB","PHI",3.5,0,"REG",14
"2019_04_SEA_ARI","ARI","SEA",5.5,1,"REG",14
"2019_04_TB_LA","LA","TB",9,0,"REG",25
"2019_04_TEN_ATL","ATL","TEN",3.5,0,"REG",12
"2019_04_WAS_NYG","NYG","WAS",3,1,"REG",17
"2019_05_ARI_CIN","CIN","ARI",3,0,"REG",19
"2019_05_ATL_HOU","HOU","ATL",4,0,"REG",16
"2019_05_BAL_PIT","PIT","BAL",3.5,1,"REG",22
"2019_05_BUF_TEN","TEN","BUF",3.5,0,"REG",19
"2019_05_CHI_OAK","LV","CHI",6.5,0,"REG",16
"2019_05_CLE_SF","SF","CLE",5,0,"REG",11
"2019_05_DEN_LAC","LAC","DEN",4,1,"REG",16
"2019_05_GB_DAL","DAL","GB",3.5,0,"REG",19
"2019_05_IND_KC","KC","IND",10.5,0,"REG",18
"2019_05_JAX_CAR","CAR","JAX",3,0,"REG",17
"2019_05_LA_SEA","SEA","LA",1.5,1,"REG",11
"2019_05_MIN_NYG","NYG","MIN",5.5,0,"REG",17
"2019_05_NE_WAS","WAS","NE",15.5,0,"REG",13
"2019_05_NYJ_PHI","PHI","NYJ",14,0,"REG",18
"2019_05_TB_NO","NO","TB",3,1,"REG",10
"2019_06_ATL_ARI","ARI","ATL",3,0,"REG",16
"2019_06_CAR_TB","TB","CAR",2,1,"REG",12
"2019_06_CIN_BAL","BAL","CIN",10.5,1,"REG",14
"2019_06_DAL_NYJ","NYJ","DAL",7,0,"REG",17
"2019_06_DET_GB","GB","DET",3.5,1,"REG",14
"2019_06_HOU_KC","KC","HOU",3.5,0,"REG",21
"2019_06_NO_JAX","JAX","NO",2.5,0,"REG",5
"2019_06_NYG_NE","NE","NYG",16.5,0,"REG",8
"2019_06_PHI_MIN","MIN","PHI",3.5,0,"REG",11
"2019_06_PIT_LAC","LAC","PIT",6,0,"REG",14
"2019_06_SEA_CLE","CLE","SEA",1,0,"REG",19
"2019_06_SF_LA","LA","SF",3,1,"REG",12
"2019_06_TEN_DEN","DEN","TEN",1,0,"REG",14
"2019_06_WAS_MIA","MIA","WAS",6,0,"REG",11
"2019_07_ARI_NYG","NYG","ARI",3.5,0,"REG",16
"2019_07_BAL_SEA","SEA","BAL",3,0,"REG",10
"2019_07_HOU_IND","IND","HOU",1.5,1,"REG",16
"2019_07_JAX_CIN","CIN","JAX",4,0,"REG",17
"2019_07_KC_DEN","DEN","KC",3,1,"REG",10
"2019_07_LA_ATL","ATL","LA",3,0,"REG",10
"2019_07_LAC_TEN","TEN","LAC",3,0,"REG",11
"2019_07_MIA_BUF","BUF","MIA",17,1,"REG",15
"2019_07_MIN_DET","DET","MIN",2.5,1,"REG",14
"2019_07_NE_NYJ","NYJ","NE",9.5,1,"REG",15
"2019_07_NO_CHI","CHI","NO",4,0,"REG",7
"2019_07_OAK_GB","GB","LV",5.5,0,"REG",11
"2019_07_PHI_DAL","DAL","PHI",3,1,"REG",11
"2019_07_SF_WAS","WAS","SF",10,0,"REG",9
"2019_08_ARI_NO","NO","ARI",12.5,0,"REG",7
"2019_08_CAR_SF","SF","CAR",4.5,0,"REG",13
"2019_08_CIN_LA","LA","CIN",12,0,"REG",15
"2019_08_CLE_NE","NE","CLE",9.5,0,"REG",17
"2019_08_DEN_IND","IND","DEN",6,0,"REG",20
"2019_08_GB_KC","KC","GB",5,0,"REG",7
"2019_08_LAC_CHI","CHI","LAC",3.5,0,"REG",13
"2019_08_MIA_PIT","PIT","MIA",14,0,"REG",14
"2019_08_NYG_DET","DET","NYG",6.5,0,"REG",12
"2019_08_NYJ_JAX","JAX","NYJ",7,0,"REG",19
"2019_08_OAK_HOU","HOU","LV",5,0,"REG",18
"2019_08_PHI_BUF","BUF","PHI",1,0,"REG",12
"2019_08_SEA_ATL","ATL","SEA",7.5,0,"REG",14
"2019_08_TB_TEN","TEN","TB",2,0,"REG",15
"2019_08_WAS_MIN","MIN","WAS",16.5,0,"REG",11
"2019_09_CHI_PHI","PHI","CHI",5,0,"REG",17
"2019_09_CLE_DEN","DEN","CLE",4,0,"REG",12
"2019_09_DAL_NYG","NYG","DAL",6.5,1,"REG",18
"2019_09_DET_OAK","LV","DET",2.5,0,"REG",15
"2019_09_GB_LAC","LAC","GB",4,0,"REG",13
"2019_09_HOU_JAX","JAX","HOU",1,1,"REG",11
"2019_09_IND_PIT","PIT","IND",1,0,"REG",12
"2019_09_MIN_KC","KC","MIN",5.5,0,"REG",7
"2019_09_NE_BAL","BAL","NE",3,0,"REG",11
