"fg_result","distance","wind","rain"
1,43,3,FALSE
0,30,3,FALSE
1,33,3,FALSE
1,43,3,FALSE
0,48,3,FALSE
1,26,3,FALSE
1,54,NA,FALSE
0,34,NA,FALSE
1,32,NA,FALSE
1,28,8,FALSE
1,56,8,FALSE
1,24,8,FALSE
0,52,8,FALSE
1,21,NA,FALSE
1,41,NA,FALSE
1,45,NA,FALSE
1,50,NA,FALSE
1,53,NA,FALSE
1,21,NA,FALSE
1,42,NA,FALSE
1,46,4,FALSE
1,45,4,FALSE
1,30,4,FALSE
1,34,4,FALSE
0,47,6,FALSE
1,39,6,FALSE
1,43,6,FALSE
1,36,6,FALSE
1,23,6,FALSE
0,44,6,FALSE
1,33,6,FALSE
1,54,6,FALSE
0,45,6,FALSE
0,63,6,FALSE
1,23,0,FALSE
1,21,0,FALSE
1,33,0,FALSE
1,33,6,FALSE
1,41,6,FALSE
1,36,6,FALSE
1,36,6,FALSE
1,48,6,FALSE
1,49,NA,FALSE
1,21,NA,FALSE
1,35,NA,FALSE
1,38,NA,FALSE
1,19,NA,FALSE
1,48,8,FALSE
1,38,8,FALSE
1,43,8,FALSE
1,52,1,FALSE
1,22,NA,FALSE
1,42,NA,FALSE
1,30,3,FALSE
0,46,3,FALSE
1,31,3,FALSE
1,32,NA,FALSE
1,22,NA,FALSE
1,40,NA,FALSE
1,20,NA,FALSE
0,54,4,FALSE
0,48,NA,FALSE
0,56,NA,FALSE
1,37,NA,FALSE
1,38,NA,FALSE
0,42,12,FALSE
1,22,12,FALSE
1,29,NA,FALSE
0,48,NA,FALSE
1,46,NA,FALSE
1,32,NA,FALSE
1,34,8,FALSE
1,55,8,FALSE
1,32,8,FALSE
1,38,8,FALSE
1,25,10,FALSE
1,51,10,FALSE
1,42,10,FALSE
1,28,10,FALSE
1,29,10,FALSE
1,43,10,FALSE
1,47,7,FALSE
1,28,7,FALSE
1,42,7,FALSE
0,48,7,FALSE
1,41,7,FALSE
1,41,7,FALSE
1,26,1,FALSE
1,33,1,FALSE
1,25,1,FALSE
1,30,1,FALSE
0,52,1,FALSE
1,31,1,FALSE
1,41,7,FALSE
1,39,7,FALSE
1,23,7,FALSE
