"date","bike_counts","weekEnd","Wind_avg","Precip","Snowfall","Snowdepth","Temp_avg","Temp_max","Temp_min","Wind_fast2m","Wind_fast5s","FOG","Thunder","IcePellets","Smoke"
"2018-07-24",5963,FALSE,17.22,0,0,0,77,83,74,23,31.1,0,0,0,0
"2018-07-25",2213,FALSE,15.66,0.3,0,0,76,81,72,25.1,32,1,0,0,0
"2018-07-26",5969,FALSE,10.96,0,0,0,77,85,72,17,21,0,0,0,0
"2018-07-27",4199,FALSE,7.61,1.17,0,0,78,86,69,33.1,40,1,1,0,0
"2018-07-28",4085,TRUE,6.71,0,0,0,76,85,71,17,19.9,0,0,0,0
"2018-07-29",4302,TRUE,11.41,0,0,0,77,83,71,18.1,21.9,0,0,0,0
"2018-07-30",6457,FALSE,6.04,0.02,0,0,75,81,69,18.1,23,1,0,0,0
"2018-07-31",7102,FALSE,7.83,0,0,0,73,79,67,15,18.1,0,0,0,0
"2018-08-01",4331,FALSE,15.43,0.02,0,0,78,84,75,28,35.1,0,0,0,0
"2018-08-02",5577,FALSE,14.32,0.02,0,0,80,85,76,29.1,34,1,0,0,0
"2018-08-03",4350,FALSE,11.18,0.05,0,0,78,84,73,25.1,30,1,1,0,0
"2018-08-04",2831,TRUE,10.96,0.17,0,0,77,86,73,21,25.1,1,0,0,0
"2018-08-05",3856,TRUE,7.83,0,0,0,81,88,73,17,23,0,0,0,0
"2018-08-06",5753,FALSE,10.74,0,0,0,82,89,75,21.9,25.9,0,0,0,0
"2018-08-07",5627,FALSE,12.3,0.74,0,0,80,85,72,28,33.1,1,1,0,0
"2018-08-08",5702,FALSE,9.62,0.01,0,0,78,85,73,21,23.9,1,0,0,0
"2018-08-09",6045,FALSE,9.62,0.3,0,0,82,90,74,21.9,27.1,1,1,0,0
"2018-08-10",5398,FALSE,8.28,0,0,0,80,86,69,21.9,25.9,0,0,0,0
"2018-08-11",1483,TRUE,7.61,0.33,0,0,75,79,70,21.9,25.9,1,1,0,0
"2018-08-12",3514,TRUE,6.49,1.84,0,0,76,83,71,19.9,30,1,1,0,0
"2018-08-13",2716,FALSE,9.17,0.6,0,0,74,77,71,16.1,21.9,1,0,0,0
"2018-08-14",5319,FALSE,9.62,0.14,0,0,75,82,70,21,23.9,1,1,0,0
"2018-08-15",6388,FALSE,11.41,0,0,0,78,89,71,17,25.9,0,0,0,0
"2018-08-16",6090,FALSE,9.4,0,0,0,82,89,74,17,21,0,0,0,0
"2018-08-17",4832,FALSE,11.41,0.03,0,0,80,85,74,23.9,31.1,1,1,0,0
"2018-08-18",3576,TRUE,10.29,0.14,0,0,79,86,71,23,28,1,1,0,0
"2018-08-19",2599,TRUE,11.41,0.02,0,0,71,73,67,21.9,29.1,0,0,0,0
"2018-08-20",6217,FALSE,7.16,0,0,0,70,74,67,16.1,19,0,0,0,0
"2018-08-21",6886,FALSE,10.07,0,0,0,70,76,64,16.1,21,0,0,0,0
"2018-08-22",5912,FALSE,13.2,0.26,0,0,77,86,71,25.1,30,1,0,0,0
"2018-08-23",6315,FALSE,11.18,0.01,0,0,74,80,66,19.9,25.1,0,0,0,0
"2018-08-24",5729,FALSE,6.49,0,0,0,74,81,62,16.1,18.1,0,0,0,0
"2018-08-25",4445,TRUE,6.49,0,0,0,73,79,64,13,17,0,0,0,0
"2018-08-26",4270,TRUE,11.41,0,0,0,73,81,66,21,25.9,0,0,0,0
"2018-08-27",6028,FALSE,8.72,0,0,0,79,87,73,17,19,0,0,0,0
"2018-08-28",5640,FALSE,10.29,0,0,0,82,90,76,21,23.9,1,0,0,1
"2018-08-29",5113,FALSE,9.84,0,0,0,84,92,73,16.1,19.9,0,0,0,0
"2018-08-30",5355,FALSE,10.51,0,0,0,83,92,77,18.1,23,1,0,0,0
"2018-08-31",4311,FALSE,13.65,0,0,0,76,77,71,21,25.9,1,0,0,0
"2018-09-01",3748,TRUE,8.72,0.01,0,0,72,77,68,16.1,19.9,0,0,0,0
"2018-09-02",3763,TRUE,7.38,0,0,0,72,80,64,14.1,18.1,0,0,0,0
"2018-09-03",3347,FALSE,9.84,0,0,0,78,84,75,17,21,0,0,0,0
"2018-09-04",5725,FALSE,6.49,0,0,0,83,93,76,13,16.1,0,0,0,0
"2018-09-05",6199,FALSE,8.28,0,0,0,80,87,74,14.1,17,1,0,0,0
"2018-09-06",5394,FALSE,10.51,0.69,0,0,80,89,73,25.9,32,1,1,0,0
"2018-09-07",5550,FALSE,8.95,0,0,0,74,77,70,14.1,18.1,0,0,0,0
"2018-09-08",3928,TRUE,12.08,0.04,0,0,69,72,62,19.9,25.1,1,0,0,0
"2018-09-09",1419,TRUE,12.53,0.44,0,0,61,63,56,18.1,23.9,1,0,0,0
"2018-09-10",1602,FALSE,14.54,1.25,0,0,60,65,56,25.1,34,1,0,0,0
"2018-09-11",4495,FALSE,4.03,0.27,0,0,68,76,64,8.9,11,1,0,0,0
"2018-09-12",3973,FALSE,3.8,0.04,0,0,74,79,71,12.1,14.1,1,0,0,0
"2018-09-13",4925,FALSE,9.17,0.11,0,0,72,78,69,14.1,18.1,1,0,0,0
"2018-09-14",5636,FALSE,9.17,0,0,0,71,78,67,17,21,0,0,0,0
"2018-09-15",4679,TRUE,5.37,0,0,0,71,79,65,12.1,15,0,0,0,0
"2018-09-16",4904,TRUE,5.37,0,0,0,72,80,64,13,16.1,0,0,0,0
"2018-09-17",5832,FALSE,8.95,0,0,0,72,79,65,18.1,25.1,0,0,0,0
"2018-09-18",3560,FALSE,12.3,0.67,0,0,75,81,70,23.9,30,1,1,0,0
"2018-09-19",6538,FALSE,9.84,0,0,0,74,84,67,17,21.9,0,0,0,0
"2018-09-20",6430,FALSE,6.93,0,0,0,68,73,64,14.1,18.1,0,0,0,0
"2018-09-21",5747,FALSE,14.76,0,0,0,69,73,67,23.9,29.1,0,0,0,0
"2018-09-22",4778,TRUE,12.75,0,0,0,72,75,63,25.9,34,0,0,0,0
"2018-09-23",3404,TRUE,6.04,0.04,0,0,63,69,61,10.1,13,1,0,0,0
"2018-09-24",6228,FALSE,13.42,0,0,0,63,71,57,25.1,33.1,0,0,0,0
"2018-09-25",1648,FALSE,14.99,0.81,0,0,65,73,58,28,35.1,1,0,0,0
"2018-09-26",4307,FALSE,13.42,0.36,0,0,73,79,64,21,27.1,1,1,0,0
"2018-09-27",6183,FALSE,12.75,0,0,0,69,75,61,19.9,28,0,0,0,0
"2018-09-28",3472,FALSE,10.51,1.26,0,0,62,65,56,23.9,31.1,1,0,0,0
"2018-09-29",4782,TRUE,7.61,0,0,0,65,76,58,15,19,0,0,0,0
"2018-09-30",4485,TRUE,7.61,0,0,0,63,70,54,13,16.1,0,0,0,0
